,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
661,filter41$\longleftrightarrow$filter44,7341,M0942_1.02,0.000949705,M0607_1.02,0.00640584,486.0,156.0,128.0,160.0,0.0077162443990371,0.0396124435118785,IRX4,KDM2B,IRX4$\longleftrightarrow$KDM2B,Homeodomain,CxxC,CxxC$\longleftrightarrow$Homeodomain
662,filter41$\longleftrightarrow$filter53,7350,M0942_1.02,0.000949705,M6547_1.02,0.0102349,132.0,138.0,239.0,186.0,0.0033180663916,0.0221389002989372,IRX4,ZFX,IRX4$\longleftrightarrow$ZFX,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
663,filter41$\longleftrightarrow$filter54,7351,M0942_1.02,0.000949705,M6336_1.02,0.00340884,210.0,30.0,232.0,119.0,0.0001349402585324,0.0024543338795963,IRX4,MAZ,IRX4$\longleftrightarrow$MAZ,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
666,filter41$\longleftrightarrow$filter96,7393,M0942_1.02,0.000949705,M4604_1.02,0.00127604,318.0,144.0,276.0,269.0,0.0067701927636727,0.0362738654916163,IRX4,ZNF263,IRX4$\longleftrightarrow$ZNF263,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
670,filter41$\longleftrightarrow$filter131,7428,M0942_1.02,0.000949705,M1668_1.02,0.00410157,324.0,138.0,285.0,359.0,0.0039840279588275,0.0250867684571997,IRX4,PRKRIR,IRX4$\longleftrightarrow$PRKRIR,Homeodomain,THAP finger,Homeodomain$\longleftrightarrow$THAP finger
671,filter41$\longleftrightarrow$filter148,7445,M0942_1.02,0.000949705,M0608_1.02,0.00321805,270.0,396.0,260.0,351.0,0.0005069592150692,0.0062000457661019,IRX4,MLL,IRX4$\longleftrightarrow$MLL,Homeodomain,CxxC,CxxC$\longleftrightarrow$Homeodomain
724,filter44$\longleftrightarrow$filter45,7810,M0607_1.02,0.00640584,M1049_1.02,0.00639964,66.0,114.0,101.0,107.0,0.0075836755637779,0.0391744486936798,KDM2B,SIX4,KDM2B$\longleftrightarrow$SIX4,CxxC,Homeodomain,CxxC$\longleftrightarrow$Homeodomain
725,filter44$\longleftrightarrow$filter53,7818,M0607_1.02,0.00640584,M6547_1.02,0.0102349,222.0,324.0,166.0,94.0,0.0021118937560419,0.0160636322468358,KDM2B,ZFX,KDM2B$\longleftrightarrow$ZFX,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
732,filter44$\longleftrightarrow$filter89,7854,M0607_1.02,0.00640584,M0632_1.02,0.00514261,282.0,96.0,144.0,163.0,3.226726436756891e-05,0.000866469671236,KDM2B,DMRTA2,KDM2B$\longleftrightarrow$DMRTA2,CxxC,DM,DM$\longleftrightarrow$CxxC
739,filter44$\longleftrightarrow$filter111,7876,M0607_1.02,0.00640584,M1963_1.02,0.0136401,120.0,234.0,177.0,113.0,0.0104907424739705,0.0495007810640421,KDM2B,ZFY,KDM2B$\longleftrightarrow$ZFY,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
744,filter44$\longleftrightarrow$filter131,7896,M0607_1.02,0.00640584,M1668_1.02,0.00410157,18.0,90.0,205.0,192.0,3.0495291187685707e-06,0.0001667020066078,KDM2B,PRKRIR,KDM2B$\longleftrightarrow$PRKRIR,CxxC,THAP finger,CxxC$\longleftrightarrow$THAP finger
745,filter44$\longleftrightarrow$filter148,7913,M0607_1.02,0.00640584,M0608_1.02,0.00321805,216.0,162.0,191.0,188.0,1.2134325500408773e-05,0.0004463009404937,KDM2B,MLL,KDM2B$\longleftrightarrow$MLL,CxxC,CxxC,CxxC$\longleftrightarrow$CxxC
746,filter44$\longleftrightarrow$filter149,7914,M0607_1.02,0.00640584,M0931_1.02,0.0294458,6.0,150.0,107.0,121.0,0.0100111005823551,0.0479309141933839,KDM2B,LHX5,KDM2B$\longleftrightarrow$LHX5,CxxC,Homeodomain,CxxC$\longleftrightarrow$Homeodomain
749,filter44$\longleftrightarrow$filter165,7930,M0607_1.02,0.00640584,M0404_1.02,0.0444817,504.0,168.0,156.0,141.0,0.0055905291596815,0.0318648952218112,KDM2B,ZNF202,KDM2B$\longleftrightarrow$ZNF202,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
751,filter44$\longleftrightarrow$filter168,7933,M0607_1.02,0.00640584,M6420_1.02,0.00349744,498.0,48.0,165.0,113.0,0.0065757136590993,0.0355070693049548,KDM2B,PLAG1,KDM2B$\longleftrightarrow$PLAG1,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
761,filter45$\longleftrightarrow$filter53,7972,M1049_1.02,0.00639964,M6547_1.02,0.0102349,366.0,168.0,168.0,145.0,0.0044241826733045,0.0270293741705152,SIX4,ZFX,SIX4$\longleftrightarrow$ZFX,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
762,filter45$\longleftrightarrow$filter54,7973,M1049_1.02,0.00639964,M6336_1.02,0.00340884,366.0,348.0,149.0,86.0,0.000184191167834,0.0030928572637655,SIX4,MAZ,SIX4$\longleftrightarrow$MAZ,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
764,filter45$\longleftrightarrow$filter89,8008,M1049_1.02,0.00639964,M0632_1.02,0.00514261,462.0,114.0,144.0,226.0,0.0103775228991469,0.0491179711339737,SIX4,DMRTA2,SIX4$\longleftrightarrow$DMRTA2,Homeodomain,DM,DM$\longleftrightarrow$Homeodomain
768,filter45$\longleftrightarrow$filter117,8036,M1049_1.02,0.00639964,M4604_1.02,0.00681695,366.0,300.0,179.0,204.0,0.0001043224872012,0.002036047832239,SIX4,ZNF263,SIX4$\longleftrightarrow$ZNF263,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
770,filter45$\longleftrightarrow$filter131,8050,M1049_1.02,0.00639964,M1668_1.02,0.00410157,78.0,150.0,189.0,247.0,2.183886519752073e-05,0.000672677615635,SIX4,PRKRIR,SIX4$\longleftrightarrow$PRKRIR,Homeodomain,THAP finger,Homeodomain$\longleftrightarrow$THAP finger
771,filter45$\longleftrightarrow$filter148,8067,M1049_1.02,0.00639964,M0608_1.02,0.00321805,168.0,66.0,177.0,248.0,0.0013112178888289,0.011710329242333,SIX4,MLL,SIX4$\longleftrightarrow$MLL,Homeodomain,CxxC,CxxC$\longleftrightarrow$Homeodomain
792,filter53$\longleftrightarrow$filter80,9195,M6547_1.02,0.0102349,M1668_1.02,0.0030752,246.0,30.0,335.0,172.0,0.0020000736336362,0.0155465693513199,ZFX,PRKRIR,ZFX$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
797,filter53$\longleftrightarrow$filter118,9233,M6547_1.02,0.0102349,M0891_1.02,0.0151094,288.0,396.0,171.0,185.0,0.000195275335178,0.00322873570228,ZFX,TLX2,ZFX$\longleftrightarrow$TLX2,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
806,filter53$\longleftrightarrow$filter148,9263,M6547_1.02,0.0102349,M0608_1.02,0.00321805,132.0,378.0,376.0,227.0,0.0005368517816377,0.0064312322402338,ZFX,MLL,ZFX$\longleftrightarrow$MLL,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
807,filter53$\longleftrightarrow$filter149,9264,M6547_1.02,0.0102349,M0931_1.02,0.0294458,120.0,396.0,170.0,158.0,0.0084059570806761,0.0421345316152848,ZFX,LHX5,ZFX$\longleftrightarrow$LHX5,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
811,filter53$\longleftrightarrow$filter180,9295,M6547_1.02,0.0102349,M1589_1.02,0.00640278,180.0,450.0,209.0,174.0,0.0029047345576267,0.0201458376534185,ZFX,SOX30,ZFX$\longleftrightarrow$SOX30,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
816,filter54$\longleftrightarrow$filter64,9324,M6336_1.02,0.00340884,M4427_1.02,0.0113245,396.0,366.0,227.0,67.0,0.0010654990595609,0.0101978356359514,MAZ,CTCF,MAZ$\longleftrightarrow$CTCF,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
820,filter54$\longleftrightarrow$filter80,9340,M6336_1.02,0.00340884,M1668_1.02,0.0030752,42.0,456.0,318.0,124.0,0.0001526208680092,0.0026874779041126,MAZ,PRKRIR,MAZ$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
829,filter54$\longleftrightarrow$filter112,9372,M6336_1.02,0.00340884,M2314_1.02,0.0391061,180.0,192.0,339.0,103.0,0.0045580243008782,0.027617407898561,MAZ,SP2,MAZ$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
831,filter54$\longleftrightarrow$filter117,9377,M6336_1.02,0.00340884,M4604_1.02,0.00681695,180.0,66.0,380.0,114.0,0.0021385091993833,0.016222667193797,MAZ,ZNF263,MAZ$\longleftrightarrow$ZNF263,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
839,filter54$\longleftrightarrow$filter138,9398,M6336_1.02,0.00340884,M0608_1.02,0.0157282,150.0,252.0,117.0,118.0,0.0019249565577907,0.0151634147216631,MAZ,MLL,MAZ$\longleftrightarrow$MLL,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
844,filter54$\longleftrightarrow$filter155,9415,M6336_1.02,0.00340884,M4537_1.02,0.0119444,540.0,420.0,152.0,104.0,0.0007687550019401,0.0082490566006977,MAZ,E2F4,MAZ$\longleftrightarrow$E2F4,C2H2 ZF,E2F,C2H2 ZF$\longleftrightarrow$E2F
846,filter54$\longleftrightarrow$filter163,9423,M6336_1.02,0.00340884,M0436_1.02,1.4859e-05,534.0,222.0,157.0,121.0,6.171362161569208e-05,0.0013813021854994,MAZ,ZNF35,MAZ$\longleftrightarrow$ZNF35,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
848,filter54$\longleftrightarrow$filter165,9425,M6336_1.02,0.00340884,M0404_1.02,0.0444817,60.0,204.0,314.0,107.0,0.0009325163059924,0.0093655690283405,MAZ,ZNF202,MAZ$\longleftrightarrow$ZNF202,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
850,filter54$\longleftrightarrow$filter167,9427,M6336_1.02,0.00340884,M6547_1.02,0.00310707,114.0,66.0,280.0,125.0,0.0002642678640674,0.0039806222249914,MAZ,ZFX,MAZ$\longleftrightarrow$ZFX,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
854,filter54$\longleftrightarrow$filter180,9440,M6336_1.02,0.00340884,M1589_1.02,0.00640278,360.0,18.0,195.0,116.0,8.450617713510667e-05,0.0017442986645584,MAZ,SOX30,MAZ$\longleftrightarrow$SOX30,C2H2 ZF,Sox,C2H2 ZF$\longleftrightarrow$Sox
871,filter60$\longleftrightarrow$filter64,10173,M6482_1.02,0.0046361,M4427_1.02,0.0113245,150.0,198.0,256.0,137.0,0.0057012434275924,0.0322373804268926,SP7,CTCF,SP7$\longleftrightarrow$CTCF,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
890,filter61$\longleftrightarrow$filter89,10336,M1605_1.02,0.00157185,M0632_1.02,0.00514261,12.0,96.0,157.0,315.0,0.0046662848173787,0.0280089699234393,SOX1,DMRTA2,SOX1$\longleftrightarrow$DMRTA2,Sox,DM,Sox$\longleftrightarrow$DM
923,filter64$\longleftrightarrow$filter171,10826,M4427_1.02,0.0113245,M4604_1.02,0.00959277,72.0,72.0,294.0,229.0,0.003152103812128,0.0213190216362081,CTCF,ZNF263,CTCF$\longleftrightarrow$ZNF263,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
955,filter70$\longleftrightarrow$filter106,11550,M2314_1.02,0.00723147,M1528_1.02,0.00192429,192.0,6.0,292.0,91.0,0.0083090583558311,0.0417298443120464,SP2,RFX7,SP2$\longleftrightarrow$RFX7,C2H2 ZF,RFX,C2H2 ZF$\longleftrightarrow$RFX
995,filter80$\longleftrightarrow$filter111,12790,M1668_1.02,0.0030752,M1963_1.02,0.0136401,12.0,72.0,352.0,207.0,0.0102007626927733,0.0484805704150552,PRKRIR,ZFY,PRKRIR$\longleftrightarrow$ZFY,THAP finger,C2H2 ZF,C2H2 ZF$\longleftrightarrow$THAP finger
999,filter80$\longleftrightarrow$filter148,12827,M1668_1.02,0.0030752,M0608_1.02,0.00321805,156.0,312.0,356.0,341.0,4.033854279127142e-06,0.0002039331481418,PRKRIR,MLL,PRKRIR$\longleftrightarrow$MLL,THAP finger,CxxC,CxxC$\longleftrightarrow$THAP finger
1075,filter92$\longleftrightarrow$filter106,14135,M4459_1.02,0.00633483,M1528_1.02,0.00192429,6.0,24.0,305.0,131.0,0.0047662438622056,0.0284715461933856,EGR1,RFX7,EGR1$\longleftrightarrow$RFX7,C2H2 ZF,RFX,C2H2 ZF$\longleftrightarrow$RFX
1125,filter94$\longleftrightarrow$filter155,14395,M0408_1.02,0.0188115,M4537_1.02,0.0119444,150.0,36.0,60.0,229.0,0.0004517554569298,0.0057161265081054,ZKSCAN1,E2F4,ZKSCAN1$\longleftrightarrow$E2F4,C2H2 ZF,E2F,C2H2 ZF$\longleftrightarrow$E2F
1135,filter96$\longleftrightarrow$filter149,14596,M4604_1.02,0.00127604,M0931_1.02,0.0294458,126.0,402.0,191.0,219.0,0.0026739547067558,0.019070376614705,ZNF263,LHX5,ZNF263$\longleftrightarrow$LHX5,C2H2 ZF,Homeodomain,C2H2 ZF$\longleftrightarrow$Homeodomain
1137,filter96$\longleftrightarrow$filter167,14614,M4604_1.02,0.00127604,M6547_1.02,0.00310707,102.0,72.0,322.0,258.0,0.0087569672641362,0.0433663849232908,ZNF263,ZFX,ZNF263$\longleftrightarrow$ZFX,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
1161,filter103$\longleftrightarrow$filter111,15251,M0609_1.02,0.00127235,M1963_1.02,0.0136401,54.0,108.0,397.0,177.0,0.0023449373836615,0.0173251604429516,DNMT1,ZFY,DNMT1$\longleftrightarrow$ZFY,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
1163,filter103$\longleftrightarrow$filter125,15265,M0609_1.02,0.00127235,M1605_1.02,0.0169478,24.0,210.0,182.0,234.0,0.0054709933070132,0.0313091241941182,DNMT1,SOX1,DNMT1$\longleftrightarrow$SOX1,CxxC,Sox,Sox$\longleftrightarrow$CxxC
1171,filter103$\longleftrightarrow$filter165,15305,M0609_1.02,0.00127235,M0404_1.02,0.0444817,54.0,108.0,334.0,226.0,0.0097420988308463,0.0469252681036506,DNMT1,ZNF202,DNMT1$\longleftrightarrow$ZNF202,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
1175,filter103$\longleftrightarrow$filter180,15320,M0609_1.02,0.00127235,M1589_1.02,0.00640278,36.0,144.0,233.0,231.0,0.0101234196791407,0.0482705509866203,DNMT1,SOX30,DNMT1$\longleftrightarrow$SOX30,CxxC,Sox,Sox$\longleftrightarrow$CxxC
1181,filter106$\longleftrightarrow$filter117,15539,M1528_1.02,0.00192429,M4604_1.02,0.00681695,144.0,72.0,330.0,116.0,0.0061990084214711,0.0341388934589735,RFX7,ZNF263,RFX7$\longleftrightarrow$ZNF263,RFX,C2H2 ZF,C2H2 ZF$\longleftrightarrow$RFX
1183,filter106$\longleftrightarrow$filter131,15553,M1528_1.02,0.00192429,M1668_1.02,0.00410157,198.0,6.0,339.0,143.0,0.0024179783578661,0.017695083988533,RFX7,PRKRIR,RFX7$\longleftrightarrow$PRKRIR,RFX,THAP finger,RFX$\longleftrightarrow$THAP finger
1186,filter111$\longleftrightarrow$filter129,16001,M1963_1.02,0.0136401,M2314_1.02,0.0105216,144.0,336.0,428.0,208.0,5.615660597616846e-06,0.0002562853545215,ZFY,SP2,ZFY$\longleftrightarrow$SP2,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
1188,filter111$\longleftrightarrow$filter148,16020,M1963_1.02,0.0136401,M0608_1.02,0.00321805,18.0,162.0,400.0,259.0,0.0003812115775283,0.0051279619737192,ZFY,MLL,ZFY$\longleftrightarrow$MLL,C2H2 ZF,CxxC,C2H2 ZF$\longleftrightarrow$CxxC
1223,filter117$\longleftrightarrow$filter160,16539,M4604_1.02,0.00681695,M0436_1.02,0.0111539,42.0,186.0,261.0,334.0,0.0007947373672664,0.0084115341137591,ZNF263,ZNF35,ZNF263$\longleftrightarrow$ZNF35,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
1244,filter118$\longleftrightarrow$filter131,16591,M0891_1.02,0.0151094,M1668_1.02,0.00410157,18.0,60.0,205.0,366.0,0.0007053929023373,0.0077402204964682,TLX2,PRKRIR,TLX2$\longleftrightarrow$PRKRIR,Homeodomain,THAP finger,Homeodomain$\longleftrightarrow$THAP finger
1283,filter129$\longleftrightarrow$filter155,17440,M2314_1.02,0.0105216,M4537_1.02,0.0119444,534.0,132.0,185.0,237.0,0.0004764511611316,0.0059401160427299,SP2,E2F4,SP2$\longleftrightarrow$E2F4,C2H2 ZF,E2F,C2H2 ZF$\longleftrightarrow$E2F
1288,filter129$\longleftrightarrow$filter165,17450,M2314_1.02,0.0105216,M0404_1.02,0.0444817,282.0,198.0,359.0,258.0,1.7365295789826827e-10,1.5023245896781488e-07,SP2,ZNF202,SP2$\longleftrightarrow$ZNF202,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
1291,filter129$\longleftrightarrow$filter168,17453,M2314_1.02,0.0105216,M6420_1.02,0.00349744,228.0,126.0,398.0,205.0,3.3491647697136066e-05,0.0008885557411701,SP2,PLAG1,SP2$\longleftrightarrow$PLAG1,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
1314,filter131$\longleftrightarrow$filter165,17587,M1668_1.02,0.00410157,M0404_1.02,0.0444817,12.0,162.0,358.0,322.0,0.0027573046242503,0.0194625212533994,PRKRIR,ZNF202,PRKRIR$\longleftrightarrow$ZNF202,THAP finger,C2H2 ZF,C2H2 ZF$\longleftrightarrow$THAP finger
1320,filter131$\longleftrightarrow$filter180,17602,M1668_1.02,0.00410157,M1589_1.02,0.00640278,48.0,168.0,254.0,335.0,3.605953422670997e-05,0.0009282181268345,PRKRIR,SOX30,PRKRIR$\longleftrightarrow$SOX30,THAP finger,Sox,Sox$\longleftrightarrow$THAP finger
1356,filter148$\longleftrightarrow$filter163,18588,M0608_1.02,0.00321805,M0436_1.02,1.4859e-05,282.0,66.0,176.0,353.0,0.0022300005285025,0.0167065325738491,MLL,ZNF35,MLL$\longleftrightarrow$ZNF35,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
1357,filter148$\longleftrightarrow$filter165,18590,M0608_1.02,0.00321805,M0404_1.02,0.0444817,132.0,24.0,340.0,320.0,0.006722860520576,0.036066723817315,MLL,ZNF202,MLL$\longleftrightarrow$ZNF202,CxxC,C2H2 ZF,C2H2 ZF$\longleftrightarrow$CxxC
1363,filter148$\longleftrightarrow$filter180,18605,M0608_1.02,0.00321805,M1589_1.02,0.00640278,300.0,30.0,233.0,333.0,1.831260946060681e-05,0.0005986809758208,MLL,SOX30,MLL$\longleftrightarrow$SOX30,CxxC,Sox,Sox$\longleftrightarrow$CxxC
1403,filter155$\longleftrightarrow$filter171,18925,M4537_1.02,0.0119444,M4604_1.02,0.00959277,132.0,132.0,194.0,304.0,0.0064780712576723,0.0351995253645997,E2F4,ZNF263,E2F4$\longleftrightarrow$ZNF263,E2F,C2H2 ZF,C2H2 ZF$\longleftrightarrow$E2F
1430,filter168$\longleftrightarrow$filter173,19408,M6420_1.02,0.00349744,M4604_1.02,0.00256164,54.0,132.0,366.0,147.0,0.0068171550318226,0.0364256985244477,PLAG1,ZNF263,PLAG1$\longleftrightarrow$ZNF263,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
